Description	Category	CategoryID	GO	LogP	Enrichment	Z.score	X.TotalGeneInLibrary	X.GeneInGO	X.GeneInHitList	X.GeneInGOAndHitList	X.InGO	STDV..InGO	GeneID	Hits	Log.q.value.	GeneList
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-3.8	2.3	4.3	27994	380	724	23	3.2	0.65	1278|2066|2257|2259|2321|2322|3440|3442|3558|3574|3680|3908|5521|5522|5618|8115|8516|9863|10319|11140|26281|146850|256076	1A2|ERBB4|FGF12|FGF14|FLT1|FLT3|IFNA2|IFNA5|IL2|IL7|ITGA9|LAMA2|PPP2R2B|PPP2R2C|PRLR|TCL1A|ITGA8|MAGI2|LAMC3|CDC37|FGF20|PIK3R6|6A5	-3.2	12
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-2.6	2.1	3.3	27994	342	753	19	2.5	0.57	1128|1311|1436|2248|2250|2255|2257|2259|2792|3630|3680|3908|4602|5521|5522|5649|7143|9586|256076	CHRM1|COMP|CSF1R|FGF3|FGF5|FGF10|FGF12|FGF14|GNGT1|INS|ITGA9|LAMA2|MYB|PPP2R2B|PPP2R2C|RELN|TNR|CREB5|6A5	-2.3	18
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-2.4	2.1	3.1	27994	342	670	17	2.5	0.61	596|1285|2057|2252|2259|2792|3371|3908|3910|5154|5527|7010|7058|8516|23533|54331|256076	BCL2|4A3|EPOR|FGF7|FGF14|GNGT1|TNC|LAMA2|LAMA4|PDGFA|PPP2R5C|TEK|THBS2|ITGA8|PIK3R5|GNG2|6A5	-2.1	3
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-2.5	2	3.2	27994	342	823	20	2.4	0.54	1280|1297|2255|2259|2321|3082|3559|3815|5105|5294|5521|5522|5618|5649|6850|7060|7143|9586|22801|118788	2A1|9A1|FGF10|FGF14|FLT1|HGF|IL2RA|KIT|PCK1|PIK3CG|PPP2R2B|PPP2R2C|PRLR|RELN|SYK|THBS4|TNR|CREB5|ITGA11|PIK3AP1	-2.2	20
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-2.9	2.1	3.5	27994	380	741	21	2.8	0.61	1943|2249|2250|2257|2259|2786|2998|3560|3562|3680|4915|5294|5521|6035|7148|8516|9623|9863|23533|51378|118788	EFNA2|FGF4|FGF5|FGF12|FGF14|GNG4|GYS2|IL2RB|IL3|ITGA9|NTRK2|PIK3CG|PPP2R2B|RNASE1|TNXB|ITGA8|TCL1B|MAGI2|PIK3R5|ANGPT4|PIK3AP1	-2.5	15
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-2.4	2	3.2	27994	342	722	18	2.5	0.58	1950|2257|2259|2792|3164|3679|3908|5521|5563|5618|5649|6696|7450|8817|10319|23533|253314|256076	EGF|FGF12|FGF14|GNGT1|NR4A1|ITGA7|LAMA2|PPP2R2B|PRKAA2|PRLR|RELN|SPP1|VWF|FGF18|LAMC3|PIK3R5|EIF4E1B|6A5	-2.1	16
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-3	2.1	3.6	27994	380	722	21	2.9	0.63	1950|2257|2259|2322|2792|3164|3679|3908|4914|5521|5563|5618|5649|6696|7450|8817|9863|10319|23533|253314|256076	EGF|FGF12|FGF14|FLT3|GNGT1|NR4A1|ITGA7|LAMA2|NTRK1|PPP2R2B|PRKAA2|PRLR|RELN|SPP1|VWF|FGF18|MAGI2|LAMC3|PIK3R5|EIF4E1B|6A5	-2.6	16
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-3.1	2.2	3.8	27994	342	733	20	2.7	0.6	1128|1950|2252|2257|2259|2260|2324|2690|2792|3443|3560|3680|3908|5156|5521|8516|9586|131873|146850|256076	CHRM1|EGF|FGF7|FGF12|FGF14|FGFR1|FLT4|GHR|GNGT1|IFNA6|IL2RB|ITGA9|LAMA2|PDGFRA|PPP2R2B|ITGA8|CREB5|6A6|PIK3R6|6A5	-2.7	13
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-2	1.9	2.8	27994	342	674	16	2.4	0.59	596|1285|1298|2257|2258|2259|2788|3456|3676|3695|3908|5578|7450|8516|118788|146850	BCL2|4A3|9A2|FGF12|FGF13|FGF14|GNG7|IFNB1|ITGA4|ITGB7|LAMA2|PRKCA|VWF|ITGA8|PIK3AP1|PIK3R6	-1.9	7
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-3.2	2.2	3.8	27994	380	753	22	2.9	0.61	1128|1311|1436|2248|2250|2255|2257|2259|2792|3481|3630|3680|3908|4602|5521|5522|5649|7143|8288|9586|9863|256076	CHRM1|COMP|CSF1R|FGF3|FGF5|FGF10|FGF12|FGF14|GNGT1|IGF2|INS|ITGA9|LAMA2|MYB|PPP2R2B|PPP2R2C|RELN|TNR|EPX|CREB5|MAGI2|6A5	-2.7	18
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-2.2	1.9	2.9	27994	380	693	18	2.6	0.6	1293|1299|1950|2056|2066|2257|2259|2788|3908|5522|5649|7010|9223|9586|9863|51764|84699|256076	6A3|9A3|EGF|EPO|ERBB4|FGF12|FGF14|GNG7|LAMA2|PPP2R2C|RELN|TEK|MAGI1|CREB5|MAGI2|GNG13|CREB3L3|6A5	-1.9	10
Wnt signaling pathway	KEGG Pathway	24	hsa04310	-2.3	2.5	3.1	27994	169	741	11	1.5	0.44	4772|4773|4920|5330|5579|6035|6425|7484|10297|27123|340419	NFATC1|NFATC2|ROR2|PLCB2|PRKCB|RNASE1|SFRP5|WNT9B|APC2|DKK2|RSPO2	-2	15
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.3	1.8	2.9	27994	520	650	22	3.4	0.71	861|1501|2239|2262|4920|5071|5336|5686|7015|7074|7477|9863|10459|22881|23072|23213|23236|51741|59352|245973|340419|388630	RUNX1|CTNND2|GPC4|GPC5|ROR2|PRKN|PLCG2|PSMA5|TERT|TIAM1|WNT7B|MAGI2|MAD2L2|ANKRD6|HECW1|SULF1|PLCB1|WWOX|LGR6|ATP6V1C2|RSPO2|TRABD2B	-2	9
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-4.5	1.8	3.1	27994	520	823	27	3.3	0.62	607|861|1482|1501|1749|2255|2262|2625|2775|5071|6424|6496|6662|8549|8796|9241|9350|9863|11197|51176|56033|57690|65268|80319|84870|284654|343637	BCL9|RUNX1|NKX2-5|CTNND2|DLX5|FGF10|GPC5|GATA3|GNAO1|PRKN|SFRP4|SIX3|SOX9|LGR5|SCEL|NOG|CER1|MAGI2|WIF1|LEF1|BARX1|TNRC6C|WNK2|CXXC4|RSPO3|RSPO1|RSPO4	-3.8	20
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-3.3	2.1	3.9	27994	520	642	25	3.9	0.76	861|1501|2099|2262|3516|4286|4920|5071|5685|6788|7074|7089|8607|9863|11063|22881|23236|27303|51473|51741|57690|59352|153090|164284|245973	RUNX1|CTNND2|ESR1|GPC5|RBPJ|MITF|ROR2|PRKN|PSMA4|STK3|TIAM1|TLE2|RUVBL1|MAGI2|SOX30|ANKRD6|PLCB1|RBMS3|DCDC2|WWOX|TNRC6C|LGR6|DAB2IP|APCDD1L|ATP6V1C2	-2.8	2
Wnt signaling pathway	KEGG Pathway	24	hsa04310	-4.4	3.4	5.2	27994	169	724	15	2.1	0.53	2239|4920|5579|5582|6095|6259|6424|7473|7479|7484|8549|23236|85407|147111|340419	GPC4|ROR2|PRKCB|PRKCG|RORA|RYK|SFRP4|WNT3|WNT8B|WNT9B|LGR5|PLCB1|NKD1|NOTUM|RSPO2	-3.7	12
Wnt signaling pathway	KEGG Pathway	24	ko04310	-2.4	2.7	3.3	27994	143	724	10	1.4	0.43	2239|5579|5582|6424|7473|7479|7484|23236|85407|147111	GPC4|PRKCB|PRKCG|SFRP4|WNT3|WNT8B|WNT9B|PLCB1|NKD1|NOTUM	-2.1	12
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.5	1.8	3.1	27994	520	741	25	3.4	0.66	1501|1813|2262|2719|2735|3516|5336|5626|5682|6928|7473|7475|7484|10459|23043|23236|25805|27303|51741|65268|84870|85407|89780|340419|374946	CTNND2|DRD2|GPC5|GPC3|GLI1|RBPJ|PLCG2|PROP1|PSMA1|HNF1B|WNT3|WNT6|WNT9B|MAD2L2|TNIK|PLCB1|BAMBI|RBMS3|WWOX|WNK2|RSPO3|NKD1|WNT3A|RSPO2|DRAXIN	-2.2	17
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.2	1.8	2.8	27994	520	700	23	3.3	0.67	861|1501|2254|2487|3484|4435|4920|5071|5336|5800|6422|7074|9863|23043|23072|23500|26585|27123|27303|51473|57216|85407|153090	RUNX1|CTNND2|FGF9|FRZB|IGFBP1|CITED1|ROR2|PRKN|PLCG2|PTPRO|SFRP1|TIAM1|MAGI2|TNIK|HECW1|DAAM2|GREM1|DKK2|RBMS3|DCDC2|VANGL2|NKD1|DAB2IP	-2	14
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.7	1.9	3.3	27994	520	674	24	3.6	0.71	861|1000|2487|2719|4693|4776|4920|5071|5682|5800|6299|6788|9863|10082|22881|23043|23072|27123|27303|50964|51176|51741|57447|388630	RUNX1|CDH2|FRZB|GPC3|NDP|NFATC4|ROR2|PRKN|PSMA1|PTPRO|SALL1|STK3|MAGI2|GPC6|ANKRD6|TNIK|HECW1|DKK2|RBMS3|SOST|LEF1|WWOX|NDRG2|TRABD2B	-2.3	7
Wnt signaling pathway	KEGG Pathway	24	ko04310	-2.7	2.8	3.6	27994	143	765	11	1.4	0.43	894|6423|7471|7480|7484|8324|23236|27123|51176|64321|85409	CCND2|SFRP2|WNT1|WNT10B|WNT9B|FZD7|PLCB1|DKK2|LEF1|SOX17|NKD2	-2.3	19
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-3.2	2	3.7	27994	520	693	26	3.8	0.72	861|1950|2099|2239|2262|3485|4286|5071|5336|6928|7074|7479|8549|9839|9863|23236|23500|27303|51176|51741|55182|57447|129293|147906|340419|388630	RUNX1|EGF|ESR1|GPC4|GPC5|IGFBP2|MITF|PRKN|PLCG2|HNF1B|TIAM1|WNT8B|LGR5|ZEB2|MAGI2|PLCB1|DAAM2|RBMS3|LEF1|WWOX|RNF220|NDRG2|TRABD2A|DACT3|RSPO2|TRABD2B	-2.7	10
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.3	1.8	3	27994	520	642	22	3.4	0.72	861|2239|2254|2255|2262|2719|3516|4286|4920|5071|5336|5800|6424|7976|9863|10082|23043|27123|51741|55182|79412|388630	RUNX1|GPC4|FGF9|FGF10|GPC5|GPC3|RBPJ|MITF|ROR2|PRKN|PLCG2|PTPRO|SFRP4|FZD3|MAGI2|GPC6|TNIK|DKK2|WWOX|RNF220|KREMEN2|TRABD2B	-2.1	4
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.2	1.8	2.8	27994	520	701	23	3.3	0.67	861|2262|4192|4286|5071|5336|5499|7481|7482|9037|10297|23236|23499|23554|25928|26108|27303|51473|51741|80326|85409|387914|388630	RUNX1|GPC5|MDK|MITF|PRKN|PLCG2|PPP1CA|WNT11|WNT2B|SEMA5A|APC2|PLCB1|MACF1|TSPAN12|SOSTDC1|PYGO1|RBMS3|DCDC2|WWOX|WNT10A|NKD2|SHISA2|TRABD2B	-2	11
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.7	1.9	3.3	27994	520	677	24	3.5	0.71	163|861|1501|2099|2239|3516|4286|5682|6424|7074|7479|9037|9863|23072|23500|25806|26523|27123|55182|81029|85407|130612|143471|388630	AP2B1|RUNX1|CTNND2|ESR1|GPC4|RBPJ|MITF|PSMA1|SFRP4|TIAM1|WNT8B|SEMA5A|MAGI2|HECW1|DAAM2|VAX2|AGO1|DKK2|RNF220|WNT5B|NKD1|TMEM198|PSMA8|TRABD2B	-2.3	1
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.6	1.9	3.2	27994	520	724	25	3.5	0.68	861|2239|2262|3487|4920|5682|6259|6424|7074|7473|7479|7484|8549|8796|9863|23043|23072|23236|25960|27303|85407|143471|147111|340419|102723796	RUNX1|GPC4|GPC5|IGFBP4|ROR2|PSMA1|RYK|SFRP4|TIAM1|WNT3|WNT8B|WNT9B|LGR5|SCEL|MAGI2|TNIK|HECW1|PLCB1|ADGRA2|RBMS3|NKD1|PSMA8|NOTUM|RSPO2|TLE7	-2.3	12
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-4.3	2.2	4.6	27994	520	765	31	4.1	0.71	2099|2255|2262|3670|5071|5563|6423|6469|7471|7480|7484|8324|8613|9491|9863|23072|23236|23554|25806|27123|51176|51339|51473|51741|63923|64321|65268|85409|145258|147495|219287	ESR1|FGF10|GPC5|ISL1|PRKN|PRKAA2|SFRP2|SHH|WNT1|WNT10B|WNT9B|FZD7|PLPP3|PSMF1|MAGI2|HECW1|PLCB1|TSPAN12|VAX2|DKK2|LEF1|DACT1|DCDC2|WWOX|TNN|SOX17|WNK2|NKD2|GSC|APCDD1|AMER2	-3.6	19
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-2.9	2	3.5	27994	520	650	24	3.7	0.74	861|1501|1896|2239|2254|2262|2719|3516|4920|5071|5800|7074|8532|9037|9839|9863|22881|23043|23072|23236|27303|51741|54331|388630	RUNX1|CTNND2|EDA|GPC4|FGF9|GPC5|GPC3|RBPJ|ROR2|PRKN|PTPRO|TIAM1|CPZ|SEMA5A|ZEB2|MAGI2|ANKRD6|TNIK|HECW1|PLCB1|RBMS3|WWOX|GNG2|TRABD2B	-2.5	5
Wnt signaling pathway	KEGG Pathway	24	hsa04310	-2.2	2.4	3	27994	169	765	11	1.4	0.43	894|6423|7471|7480|7484|8324|23236|27123|51176|64321|85409	CCND2|SFRP2|WNT1|WNT10B|WNT9B|FZD7|PLCB1|DKK2|LEF1|SOX17|NKD2	-1.9	19
Wnt signaling pathway	GO Biological Processes	19	GO:0016055	-3.8	2.2	4.2	27994	520	670	27	4	0.76	861|1363|2099|2239|2262|2719|5071|5336|5800|7015|9037|9863|23043|23072|23236|23500|27123|27303|51176|51473|51704|51741|54331|55182|65268|340419|100133941	RUNX1|CPE|ESR1|GPC4|GPC5|GPC3|PRKN|PLCG2|PTPRO|TERT|SEMA5A|MAGI2|TNIK|HECW1|PLCB1|DAAM2|DKK2|RBMS3|LEF1|DCDC2|GPRC5B|WWOX|GNG2|RNF220|WNK2|RSPO2|CD24	-3.2	3
endocrine system development	GO Biological Processes	19	GO:0035270	-5.1	4.1	5.8	27994	125	765	14	1.8	0.48	654|1392|2255|2516|3651|3670|4487|4760|6469|8022|9480|23440|64220|222546	BMP6|CRH|FGF10|NR5A1|PDX1|ISL1|MSX1|NEUROD1|SHH|LHX3|ONECUT2|OTP|STRA6|RFX6	-4.2	19
endocrine system development	GO Biological Processes	19	GO:0035270	-11	6	9.7	27994	125	823	22	2.7	0.56	1482|2255|2624|2625|3170|3175|3213|3232|4821|4825|5075|5080|5308|5454|6496|6662|7080|7490|9241|50674|219409|222546	NKX2-5|FGF10|GATA2|GATA3|FOXA2|ONECUT1|HOXB3|HOXD3|NKX2-2|NKX6-1|PAX1|PAX6|PITX2|POU3F2|SIX3|SOX9|NKX2-1|WT1|NOG|NEUROG3|GSX1|RFX6	-9.2	20
endocrine system development	GO Biological Processes	19	GO:0035270	-2.7	3	3.7	27994	125	741	10	1.3	0.42	1813|2253|2627|2735|2736|3516|5156|5626|6658|8854	DRD2|FGF8|GATA6|GLI1|GLI2|RBPJ|PDGFRA|PROP1|SOX3|ALDH1A2	-2.4	17
muscle cell fate commitment	GO Biological Processes	19	GO:0042693	-3.7	9	6	27994	19	823	5	0.61	0.27	1482|2255|4208|4656|7490	NKX2-5|FGF10|MEF2C|MYOG|WT1	-3.1	20
canonical Wnt signaling pathway	GO Biological Processes	19	GO:0060070	-3.3	2.3	3.9	27994	339	765	21	2.7	0.59	2255|2262|3670|5071|6423|6469|7471|7480|7484|8324|8613|9491|23072|27123|51176|51339|63923|64321|65268|85409|219287	FGF10|GPC5|ISL1|PRKN|SFRP2|SHH|WNT1|WNT10B|WNT9B|FZD7|PLPP3|PSMF1|HECW1|DKK2|LEF1|DACT1|TNN|SOX17|WNK2|NKD2|AMER2	-2.8	19
canonical Wnt signaling pathway	GO Biological Processes	19	GO:0060070	-2.7	2.1	3.4	27994	339	741	19	2.6	0.58	1501|2262|2719|2735|3516|5626|5682|7473|7475|7484|10459|25805|27303|65268|84870|85407|89780|340419|374946	CTNND2|GPC5|GPC3|GLI1|RBPJ|PROP1|PSMA1|WNT3|WNT6|WNT9B|MAD2L2|BAMBI|RBMS3|WNK2|RSPO3|NKD1|WNT3A|RSPO2|DRAXIN	-2.4	17
canonical Wnt signaling pathway	GO Biological Processes	19	GO:0060070	-2.8	2.2	3.5	27994	339	724	19	2.6	0.59	2262|3487|4920|5682|6259|6424|7473|7479|7484|8549|8796|23072|25960|27303|85407|143471|147111|340419|102723796	GPC5|IGFBP4|ROR2|PSMA1|RYK|SFRP4|WNT3|WNT8B|WNT9B|LGR5|SCEL|HECW1|ADGRA2|RBMS3|NKD1|PSMA8|NOTUM|RSPO2|TLE7	-2.4	12
epithelial cell differentiation involved in kidney development	GO Biological Processes	19	GO:0035850	-2	3.9	3.3	27994	47	765	5	0.65	0.29	2302|4208|4868|7484|9863	FOXJ1|MEF2C|NPHS1|WNT9B|MAGI2	-1.9	19
epithelial cell differentiation involved in kidney development	GO Biological Processes	19	GO:0035850	-2.1	4	3.4	27994	47	741	5	0.67	0.3	947|2668|3975|7484|7827	CD34|GDNF|LHX1|WNT9B|NPHS2	-1.9	17
epithelial cell differentiation involved in kidney development	GO Biological Processes	19	GO:0035850	-3.4	5.1	4.9	27994	47	823	7	0.85	0.32	2625|4208|4318|5076|7490|8842|9863	GATA3|MEF2C|MMP9|PAX2|WT1|PROM1|MAGI2	-2.9	20
epithelial cell differentiation involved in kidney development	GO Biological Processes	19	GO:0035850	-2.1	4	3.4	27994	47	741	5	0.67	0.3	5800|7484|7827|9370|9863	PTPRO|WNT9B|NPHS2|ADIPOQ|MAGI2	-1.9	15
epithelial cell differentiation involved in kidney development	GO Biological Processes	19	GO:0035850	-3	5.1	4.5	27994	47	700	6	0.86	0.35	2668|4435|5420|5800|9863|26585	GDNF|CITED1|PODXL|PTPRO|MAGI2|GREM1	-2.5	14
negative regulation of cell proliferation	GO Biological Processes	19	GO:0008285	-3.5	1.8	3.9	27994	788	765	39	5.1	0.8	148|627|863|1602|2255|2302|2321|2658|3651|3670|3814|4208|4487|4654|4745|4804|4846|4914|5376|5468|5592|5915|6196|6423|6469|6750|6910|7021|7480|9705|9863|11061|23026|54997|55450|58495|63923|65009|65268	ADRA1A|BDNF|CBFA2T3|DACH1|FGF10|FOXJ1|FLT1|GDF2|PDX1|ISL1|KISS1|MEF2C|MSX1|MYOD1|NELL1|NGFR|NOS3|NTRK1|PMP22|PPARG|PRKG1|RARB|RPS6KA2|SFRP2|SHH|SST|TBX5|TFAP2B|WNT10B|ST18|MAGI2|CNMD|MYO16|TESC|CAMK2N1|OVOL2|TNN|NDRG4|WNK2	-3	19
negative regulation of cell proliferation	GO Biological Processes	19	GO:0008285	-3.2	1.7	3.6	27994	788	823	40	4.9	0.75	134|148|430|655|1361|1493|2255|2321|2624|2625|3549|3559|4208|4488|4656|4824|5080|5592|5629|6424|6586|6662|7101|7490|8929|9241|9350|9537|9705|9863|10660|11023|26257|51761|55079|58189|65268|84871|122042|389549	ADORA1|ADRA1A|ASCL2|BMP7|CPB2|CTLA4|FGF10|FLT1|GATA2|GATA3|IHH|IL2RA|MEF2C|MSX2|MYOG|NKX3-1|PAX6|PRKG1|PROX1|SFRP4|SLIT3|SOX9|NR2E1|WT1|PHOX2B|NOG|CER1|TP53I11|ST18|MAGI2|LBX1|VAX1|NKX2-8|ATP8A2|FEZF2|WFDC1|WNK2|AGBL4|RXFP2|FEZF1	-2.7	20
negative regulation of cell proliferation	GO Biological Processes	19	GO:0008285	-2.2	1.6	2.8	27994	788	733	33	4.5	0.77	240|575|943|1361|1602|2047|2615|2719|2765|3172|3458|5449|5592|5915|6196|6586|6753|7026|7434|8854|9148|9863|9940|11095|50514|51146|64102|65268|79679|84871|122042|127435|203447	ALOX5|ADGRB1|TNFRSF8|CPB2|DACH1|EPHB1|LRRC32|GPC3|GML|HNF4A|IFNG|POU1F1|PRKG1|RARB|RPS6KA2|SLIT3|SSTR3|NR2F2|VIPR2|ALDH1A2|NEURL1|MAGI2|DLEC1|ADAMTS8|DELEC1|A4GNT|TNMD|WNK2|VTCN1|AGBL4|RXFP2|PODN|NRK	-2	13
negative regulation of cell proliferation	GO Biological Processes	19	GO:0008285	-2.3	1.6	2.8	27994	788	700	32	4.6	0.79	148|240|350|640|942|1285|1602|2487|3172|4838|4920|5468|5592|5795|5915|6422|8854|9705|9863|10400|23251|26038|26585|51761|55801|56253|79679|80781|84871|130399|153090|338761	ADRA1A|ALOX5|APOH|BLK|CD86|4A3|DACH1|FRZB|HNF4A|NODAL|ROR2|PPARG|PRKG1|PTPRJ|RARB|SFRP1|ALDH1A2|ST18|MAGI2|PEMT|MINAR1|CHD5|GREM1|ATP8A2|IL26|CRTAM|VTCN1|18A1|AGBL4|ACVR1C|DAB2IP|C1QL4	-2	14
negative regulation of cell proliferation	GO Biological Processes	19	GO:0008285	-2	1.6	2.6	27994	788	670	30	4.5	0.8	596|863|1050|1264|1285|2047|2719|3172|3593|5527|5592|5764|6196|6368|6586|7015|9863|10202|10804|23026|27306|28984|50514|51761|55423|58495|65268|84871|203447|339390	BCL2|CBFA2T3|CEBPA|CNN1|4A3|EPHB1|GPC3|HNF4A|IL12B|PPP2R5C|PRKG1|PTN|RPS6KA2|CCL23|SLIT3|TERT|MAGI2|DHRS2|GJB6|MYO16|HPGDS|RGCC|DELEC1|ATP8A2|SIRPG|OVOL2|WNK2|AGBL4|NRK|CLEC4G	-1.9	3
stem cell fate commitment	GO Biological Processes	19	GO:0048865	-2.8	12	5.6	27994	9	765	3	0.39	0.23	11281|64321|145258	POU6F2|SOX17|GSC	-2.4	19
pattern specification process	GO Biological Processes	19	GO:0007389	-41	6.2	19	27994	455	823	83	10	1	257|655|1482|2018|2019|2128|2255|2290|2294|2626|3170|3205|3206|3207|3212|3213|3214|3215|3216|3217|3218|3219|3227|3229|3232|3233|3234|3235|3236|3237|3238|3239|3549|4010|4036|4090|4208|4488|4821|4824|4825|5015|5075|5076|5080|5081|5100|5308|5649|6496|6604|7080|7490|7545|8092|8646|8701|9241|9350|9421|9464|9935|10655|10660|23493|30062|51176|55079|55130|56033|57453|58524|60529|64388|64446|80319|120237|121643|140628|168507|221833|340260|389549	ALX3|BMP7|NKX2-5|EMX2|EN1|EVX1|FGF10|FOXG1|FOXF1|GATA4|FOXA2|HOXA9|HOXA10|HOXA11|HOXB2|HOXB3|HOXB4|HOXB5|HOXB6|HOXB7|HOXB8|HOXB9|HOXC11|HOXC13|HOXD3|HOXD4|HOXD8|HOXD9|HOXD10|HOXD11|HOXD12|HOXD13|IHH|LMX1B|LRP2|SMAD5|MEF2C|MSX2|NKX2-2|NKX3-1|NKX6-1|OTX2|PAX1|PAX2|PAX6|PAX7|PCDH8|PITX2|RELN|SIX3|SMARCD3|NKX2-1|WT1|ZIC1|ALX1|CHRD|DNAH11|NOG|CER1|HAND1|HAND2|MAFB|DMRT2|LBX1|HEY2|RAX|LEF1|FEZF2|ARMC4|BARX1|DSCAML1|DMRT3|ALX4|GREM2|DNAI2|CXXC4|DBX1|FOXN4|GATA5|PKD1L1|SP8|UNCX|FEZF1	-36	20
pattern specification process	GO Biological Processes	19	GO:0007389	-11	3.3	8.3	27994	455	765	41	5.4	0.81	579|712|1044|1045|2016|2138|2246|2255|2302|3670|4036|4208|4212|4487|4760|4762|5046|5125|5649|5992|6423|6469|6910|6939|7471|8022|8701|9355|23242|25806|27023|30009|51176|57057|58495|64321|65009|145258|163589|286204|391723	NKX3-2|C1QA|CDX1|CDX2|EMX1|EYA1|FGF1|FGF10|FOXJ1|ISL1|LRP2|MEF2C|MEIS2|MSX1|NEUROD1|NEUROG1|PCSK6|PCSK5|RELN|RFX4|SFRP2|SHH|TBX5|TCF15|WNT1|LHX3|DNAH11|LHX2|COBL|VAX2|FOXB1|TBX21|LEF1|TBX20|OVOL2|SOX17|NDRG4|GSC|TDRD5|CRB2|HELT	-8.9	19
pattern specification process	GO Biological Processes	19	GO:0007389	-2.4	1.9	3.1	27994	455	722	22	3	0.64	429|1959|2138|2637|2736|3087|3211|5013|5087|5125|5649|5992|6928|7481|8701|8854|23314|26508|54567|56917|64388|170825	ASCL1|EGR2|EYA1|GBX2|GLI2|HHEX|HOXB1|OTX1|PBX1|PCSK5|RELN|RFX4|HNF1B|WNT11|DNAH11|ALDH1A2|SATB2|HEYL|DLL4|MEIS3|GREM2|GSX2	-2.1	16
pattern specification process	GO Biological Processes	19	GO:0007389	-2.6	1.9	3.2	27994	455	741	23	3.1	0.64	655|2253|2668|2719|2735|2736|3516|3975|5626|5649|6862|6928|7473|7475|8642|8854|23242|27019|60529|85407|89780|134701|340665	BMP7|FGF8|GDNF|GPC3|GLI1|GLI2|RBPJ|LHX1|PROP1|RELN|TBXT|HNF1B|WNT3|WNT6|DCHS1|ALDH1A2|COBL|DNAI1|ALX4|NKD1|WNT3A|RIPPLY2|CYP26C1	-2.3	17
pattern specification process	GO Biological Processes	19	GO:0007389	-4.9	2.5	5	27994	455	700	28	4	0.74	1959|2138|2668|2736|3223|3226|3684|4435|4838|4920|5125|5649|6422|8320|8557|8701|8854|10683|23242|23500|26585|55130|57216|64388|64446|79365|85407|163589	EGR2|EYA1|GDNF|GLI2|HOXC6|HOXC10|ITGAM|CITED1|NODAL|ROR2|PCSK5|RELN|SFRP1|EOMES|TCAP|DNAH11|ALDH1A2|DLL3|COBL|DAAM2|GREM1|ARMC4|VANGL2|GREM2|DNAI2|BHLHE41|NKD1|TDRD5	-4.1	14
amine transport	GO Biological Processes	19	GO:0015837	-2.3	3	3.3	27994	101	741	8	1.1	0.38	183|551|885|1141|3745|5020|5999|148281	AGT|AVP|CCK|CHRNB2|KCNB1|OXT|RGS4|SYT6	-2	15
amine transport	GO Biological Processes	19	GO:0015837	-3.7	3.7	4.7	27994	101	823	11	1.3	0.4	134|1268|3356|3737|5071|6529|6571|7200|57586|127833|148281	ADORA1|CNR1|HTR2A|KCNA2|PRKN|SLC6A1|SLC18A2|TRH|SYT13|SYT2|SYT6	-3.1	20
amine transport	GO Biological Processes	19	GO:0015837	-2.8	3.3	3.9	27994	101	753	9	1.2	0.4	18|134|151|1814|4889|5071|8501|143425|341359	ABAT|ADORA1|ADRA2B|DRD3|NPY5R|PRKN|SLC43A1|SYT9|SYT10	-2.4	18
amine transport	GO Biological Processes	19	GO:0015837	-8.9	6.4	8.9	27994	101	741	17	2.3	0.55	152|552|1812|1813|2668|2693|3356|3745|4923|5028|6570|6857|11255|57586|84062|85413|143425	ADRA2C|AVPR1A|DRD1|DRD2|GDNF|GHSR|HTR2A|KCNB1|NTSR1|P2RY1|SLC18A1|SYT1|HRH3|SYT13|DTNBP1|SLC22A16|SYT9	-7.5	17
amine transport	GO Biological Processes	19	GO:0015837	-2	3	3.1	27994	101	648	7	1.1	0.41	186|1815|5071|6857|23208|26281|143425	AGTR2|DRD4|PRKN|SYT1|SYT11|FGF20|SYT9	-1.9	6
