Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Canonical Pathways,11,M5884,NABA CORE MATRISOME,,-3.1,2.1,3.7,27994,275,1122,23,2,0.42,176|1280|1302|1463|2199|5212|5553|6585|7148|10319|10394|23145|54084|84628|127731|129080|136227|146177|256158|284654|340706|340990|404037,ACAN|2A1|11A2|NCAN|FBLN2|VIT|PRG2|SLIT1|TNXB|LAMC3|PRG3|SSPOP|TSPEAR|NTNG2|VWA5B1|EMID1|26A1|VWA3A|HMCN2|RSPO1|VWA2|OTOG|HAPLN4,-2.5,20
GO Biological Processes,19,GO:0048645,animal organ formation,19_GO:0032502 developmental process,-3.1,3.6,4.2,27994,62,1122,9,0.8,0.27,2253|3200|3207|3227|5076|7481|7849|55897|140628,FGF8|HOXA3|HOXA11|HOXC11|PAX2|WNT11|PAX8|MESP1|GATA5,-2.4,20
KEGG Pathway,24,ko04913,Ovarian steroidogenesis,,-3.1,4,4.3,27994,50,1122,8,0.71,0.25,111|1543|1583|1588|3630|123745|255189|283748,ADCY5|CYP1A1|CYP11A1|CYP19A1|INS|PLA2G4E|PLA2G4F|PLA2G4D,-2.4,20
GO Biological Processes,19,GO:0022600,digestive system process,19_GO:0032501 multicellular organismal process,-3.1,2.9,4,27994,102,1122,12,1.1,0.31,3784|3952|4585|4762|5950|6518|7031|7032|7033|55765|140947|497189,KCNQ1|LEP|MUC4|NEUROG1|RBP4|SLC2A5|TFF1|TFF2|TFF3|INAVA|DCANP1|TIFAB,-2.4,20
GO Biological Processes,19,GO:0030324,lung development,19_GO:0032502 developmental process,-3.1,2.4,3.8,27994,177,1122,17,1.5,0.36,1050|1544|1717|1907|2253|2324|4781|4838|4846|5950|6493|7477|7481|8022|9620|9719|64220,CEBPA|CYP1A2|DHCR7|EDN2|FGF8|FLT4|NFIB|NODAL|NOS3|RBP4|SIM2|WNT7B|WNT11|LHX3|CELSR1|ADAMTSL2|STRA6,-2.4,20
KEGG Pathway,24,hsa04976,Bile secretion,,-3.1,3.3,4.1,27994,75,1122,10,0.89,0.28,111|477|478|480|486|6344|6550|8714|10864|57835,ADCY5|ATP1A2|ATP1A3|ATP1A4|FXYD2|SCTR|SLC9A3|ABCC3|SLC22A7|SLC4A5,-2.4,20
KEGG Pathway,24,hsa05216,Thyroid cancer,,-3.1,4.5,4.4,27994,39,1122,7,0.62,0.24,999|4914|5979|6257|6932|7849|10912,CDH1|NTRK1|RET|RXRB|TCF7|PAX8|GADD45G,-2.4,20
GO Biological Processes,19,GO:0002064,epithelial cell development,19_GO:0032502 developmental process,-3.1,2.2,3.7,27994,226,1122,20,1.8,0.4,1003|3172|3549|4647|4868|4914|5138|5175|5420|6496|6768|7477|10481|25861|28514|29842|30812|57835|222662|440193,CDH5|HNF4A|IHH|MYO7A|NPHS1|NTRK1|PDE2A|PECAM1|PODXL|SIX3|ST14|WNT7B|HOXB13|WHRN|DLL1|TFCP2L1|SOX8|SLC4A5|LHFPL5|CCDC88C,-2.4,20
KEGG Pathway,24,hsa05224,Breast cancer,,-3.1,2.5,3.8,27994,162,1122,16,1.4,0.35,2248|2249|2253|2324|6932|7473|7475|7477|7481|7484|9965|10912|26508|28514|54361|80326,FGF3|FGF4|FGF8|FLT4|TCF7|WNT3|WNT6|WNT7B|WNT11|WNT9B|FGF19|GADD45G|HEYL|DLL1|WNT4|WNT10A,-2.4,20
KEGG Pathway,24,hsa04724,Glutamatergic synapse,,-3.1,2.8,3.9,27994,117,1122,13,1.2,0.32,111|776|2775|2788|2793|2900|2901|2914|10681|57030|123745|255189|283748,ADCY5|CACNA1D|GNAO1|GNG7|GNGT2|GRIK4|GRIK5|GRM4|GNB5|SLC17A7|PLA2G4E|PLA2G4F|PLA2G4D,-2.4,20
GO Biological Processes,19,GO:0072676,lymphocyte migration,19_GO:0040011 locomotion,-3.1,2.8,3.9,27994,117,1122,13,1.2,0.32,326|2185|5979|6361|6367|6369|6376|9547|10344|11240|30009|124976|729230,AIRE|PTK2B|RET|CCL17|CCL22|CCL24|CX3CL1|CXCL14|CCL26|PADI2|TBX21|SPNS2|CCR2,-2.4,20
GO Biological Processes,19,GO:0051384,response to glucocorticoid,19_GO:0050896 response to stimulus,-3.1,2.5,3.8,27994,147,1122,15,1.3,0.34,21|189|218|249|2322|2706|4654|5105|6754|6755|7054|7477|23205|84676|133522,ABCA3|AGXT|ALDH3A1|ALPL|FLT3|GJB2|MYOD1|PCK1|SSTR4|SSTR5|TH|WNT7B|ACSBG1|TRIM63|PPARGC1B,-2.4,20
GO Biological Processes,19,GO:0032535,regulation of cellular component size,19_GO:0071840 cellular component organization or biogenesis,-3.1,1.9,3.6,27994,383,1122,29,2.6,0.47,246|393|2185|3071|3778|3897|4137|4868|5979|6344|6369|6710|6900|7473|7477|10083|10344|10507|10723|23105|23108|54437|57468|57611|57731|64798|65078|343578|345456,ALOX15|ARHGAP4|PTK2B|NCKAP1L|KCNMA1|L1CAM|MAPT|NPHS1|RET|SCTR|CCL24|SPTB|CNTN2|WNT3|WNT7B|USH1C|CCL26|SEMA4D|SLC12A7|FSTL4|RAP1GAP2|SEMA5B|SLC12A5|ISLR2|SPTBN4|DEPTOR|RTN4R|ARHGAP40|PFN3,-2.4,20
GO Biological Processes,19,GO:0098656,anion transmembrane transport,19_GO:0051179 localization,-3.1,2,3.6,27994,312,1122,25,2.2,0.44,477|2563|6529|6539|6540|6550|6569|7809|9058|10723|23428|51006|51422|54102|55244|56301|57030|57468|57835|64220|115019|123041|146167|284111|340024,ATP1A2|GABRD|SLC6A1|SLC6A12|SLC6A13|SLC9A3|SLC34A1|BSND|SLC13A2|SLC12A7|SLC7A8|SLC35C2|PRKAG2|CLIC6|SLC47A1|SLC7A10|SLC17A7|SLC12A5|SLC4A5|STRA6|SLC26A9|SLC24A4|SLC38A8|SLC13A5|SLC6A19,-2.4,20
GO Biological Processes,19,GO:0050768,negative regulation of neurogenesis,19_GO:0048519 negative regulation of biological process,-3.1,2,3.6,27994,295,1122,24,2.1,0.43,393|1735|1840|1942|4804|6376|6496|6900|7101|7161|7473|9289|9355|10507|10660|23105|23108|28514|30812|54413|54437|65078|84894|146760,ARHGAP4|DIO3|DTX1|EFNA1|NGFR|CX3CL1|SIX3|CNTN2|NR2E1|TP73|WNT3|ADGRG1|LHX2|SEMA4D|LBX1|FSTL4|RAP1GAP2|DLL1|SOX8|NLGN3|SEMA5B|RTN4R|LINGO1|RTN4RL1,-2.4,20
Reactome Gene Sets,6,R-HSA-5683826,Surfactant metabolism,,-3.1,5.2,4.6,27994,29,1122,6,0.53,0.22,21|152|5222|6569|643834|643847,ABCA3|ADRA2C|PGA5|SLC34A1|PGA3|PGA4,-2.4,20
GO Biological Processes,19,GO:0051953,negative regulation of amine transport,19_GO:0048519 negative regulation of biological process,-3.1,5.2,4.6,27994,29,1122,6,0.53,0.22,134|151|152|1813|3952|7200,ADORA1|ADRA2B|ADRA2C|DRD2|LEP|TRH,-2.4,20
KEGG Pathway,24,ko05216,Thyroid cancer,,-3.1,5.2,4.6,27994,29,1122,6,0.53,0.22,999|4914|5979|6257|6932|7849,CDH1|NTRK1|RET|RXRB|TCF7|PAX8,-2.4,20
GO Biological Processes,19,GO:0036151,phosphatidylcholine acyl-chain remodeling,19_GO:0008152 metabolic process,-3.1,5.2,4.6,27994,29,1122,6,0.53,0.22,5319|64600|123745|151056|255189|283748,PLA2G1B|PLA2G2F|PLA2G4E|PLB1|PLA2G4F|PLA2G4D,-2.4,20
GO Biological Processes,19,GO:0008306,associative learning,19_GO:0007610 behavior,-3.1,3.3,4.1,27994,76,1122,10,0.89,0.28,477|1621|1813|4761|5153|6529|10636|54413|65009|84152,ATP1A2|DBH|DRD2|NEUROD2|PDE1B|SLC6A1|RGS14|NLGN3|NDRG4|PPP1R1B,-2.4,20
GO Biological Processes,19,GO:1903524,positive regulation of blood circulation,19_GO:0048518 positive regulation of biological process,-3.1,3.3,4.1,27994,76,1122,10,0.89,0.28,152|477|553|554|1482|1621|1907|3784|8862|342527,ADRA2C|ATP1A2|AVPR1B|AVPR2|NKX2-5|DBH|EDN2|KCNQ1|APLN|SMTNL2,-2.4,20
GO Biological Processes,19,GO:0031214,biomineral tissue development,19_GO:0032502 developmental process,-3.1,2.4,3.8,27994,163,1122,16,1.4,0.35,246|249|433|2185|2623|3952|4488|4846|5745|6899|7475|7481|54084|54361|144347|162466,ALOX15|ALPL|ASGR2|PTK2B|GATA1|LEP|MSX2|NOS3|PTH1R|TBX1|WNT6|WNT11|TSPEAR|WNT4|RFLNA|PHOSPHO1,-2.4,20
GO Biological Processes,19,GO:0051592,response to calcium ion,19_GO:0050896 response to stimulus,-3,2.5,3.8,27994,148,1122,15,1.3,0.34,246|2185|3707|3778|4761|6529|6861|8437|9066|10235|10369|57699|90019|127833|148281,ALOX15|PTK2B|ITPKB|KCNMA1|NEUROD2|SLC6A1|SYT5|RASAL1|SYT7|RASGRP2|CACNG2|CPNE5|SYT8|SYT2|SYT6,-2.4,20
GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-3,1.8,3.5,27994,421,1122,31,2.8,0.49,861|864|923|958|1050|1947|1960|3071|3481|3543|3549|3594|3635|3707|3718|3929|3952|5105|5590|7704|9402|10148|23308|30009|30835|54440|57126|84433|84630|729230|100423062,RUNX1|RUNX3|CD6|CD40|CEBPA|EFNB1|EGR3|NCKAP1L|IGF2|IGLL1|IHH|IL12RB1|INPP5D|ITPKB|JAK3|LBP|LEP|PCK1|PRKCZ|ZBTB16|GRAP2|EBI3|ICOSLG|TBX21|CD209|SASH3|CD177|CARD11|TTBK1|CCR2|IGLL5,-2.4,20
GO Biological Processes,19,GO:0070661,leukocyte proliferation,19_GO:0008283 cell proliferation,-3,2,3.6,27994,314,1122,25,2.2,0.44,923|958|1947|2322|3071|3481|3549|3594|3635|3718|3952|4004|6376|10148|22806|23308|30835|51083|54361|54440|64600|84433|339390|653499|729230,CD6|CD40|EFNB1|FLT3|NCKAP1L|IGF2|IHH|IL12RB1|INPP5D|JAK3|LEP|LMO1|CX3CL1|EBI3|IKZF3|ICOSLG|CD209|GAL|WNT4|SASH3|PLA2G2F|CARD11|CLEC4G|LGALS7B|CCR2,-2.4,20
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-3,1.6,3.4,27994,707,1122,46,4.1,0.59,861|958|1003|1482|1942|1944|1960|2049|2185|2253|2324|2626|2637|2658|3200|3204|3549|3579|3848|3952|4435|4804|4838|4846|5175|5740|6369|6376|6899|7101|7137|7477|7481|8291|8456|8862|9047|9289|9421|10268|10481|28514|54361|60675|64220|729230,RUNX1|CD40|CDH5|NKX2-5|EFNA1|EFNA3|EGR3|EPHB3|PTK2B|FGF8|FLT4|GATA4|GBX2|GDF2|HOXA3|HOXA7|IHH|CXCR2|KRT1|LEP|CITED1|NGFR|NODAL|NOS3|PECAM1|PTGIS|CCL24|CX3CL1|TBX1|NR2E1|TNNI3|WNT7B|WNT11|DYSF|FOXN1|APLN|SH2D2A|ADGRG1|HAND1|RAMP3|HOXB13|DLL1|WNT4|PROK2|STRA6|CCR2,-2.4,20
KEGG Pathway,24,hsa04360,Axon guidance,,-3,2.3,3.7,27994,196,1122,18,1.6,0.38,816|1942|1943|1944|1947|2046|2049|3897|5590|6585|10507|54361|54437|56896|64221|84448|84628|90249,CAMK2B|EFNA1|EFNA2|EFNA3|EFNB1|EPHA8|EPHB3|L1CAM|PRKCZ|SLIT1|SEMA4D|WNT4|SEMA5B|DPYSL5|ROBO3|ABLIM2|NTNG2|UNC5A,-2.4,20
GO Biological Processes,19,GO:0032011,ARF protein signal transduction,19_GO:0023052 signaling,-3,6.2,4.8,27994,20,1122,5,0.45,0.2,9922|23096|23550|84249|440073,IQSEC1|IQSEC2|PSD4|PSD2|IQSEC3,-2.4,20
GO Biological Processes,19,GO:0007350,blastoderm segmentation,19_GO:0032502 developmental process,-3,6.2,4.8,27994,20,1122,5,0.45,0.2,3234|4762|5046|140947|497189,HOXD8|NEUROG1|PCSK6|DCANP1|TIFAB,-2.4,20
GO Biological Processes,19,GO:0030903,notochord development,19_GO:0032502 developmental process,-3,6.2,4.8,27994,20,1122,5,0.45,0.2,1280|1942|7481|286204|344022,2A1|EFNA1|WNT11|CRB2|NOTO,-2.4,20
GO Biological Processes,19,GO:0023019,signal transduction involved in regulation of gene expression,19_GO:0023052 signaling,-3,6.2,4.8,27994,20,1122,5,0.45,0.2,2253|3172|4487|4488|55897,FGF8|HNF4A|MSX1|MSX2|MESP1,-2.4,20
GO Biological Processes,19,GO:0021826,substrate-independent telencephalic tangential migration,19_GO:0040011 locomotion,-3,8.3,5.2,27994,12,1122,4,0.36,0.18,1813|6585|6900|26468,DRD2|SLIT1|CNTN2|LHX6,-2.4,20
GO Biological Processes,19,GO:0021559,trigeminal nerve development,19_GO:0032502 developmental process,-3,8.3,5.2,27994,12,1122,4,0.36,0.18,4762|140947|497189|644168,NEUROG1|DCANP1|TIFAB|DRGX,-2.4,20
GO Biological Processes,19,GO:0051798,positive regulation of hair follicle development,19_GO:0048518 positive regulation of biological process,-3,8.3,5.2,27994,12,1122,4,0.36,0.18,3872|4488|8456|51083,KRT17|MSX2|FOXN1|GAL,-2.4,20
GO Biological Processes,19,GO:0021843,substrate-independent telencephalic tangential interneuron migration,19_GO:0040011 locomotion,-3,8.3,5.2,27994,12,1122,4,0.36,0.18,1813|6585|6900|26468,DRD2|SLIT1|CNTN2|LHX6,-2.4,20
GO Biological Processes,19,GO:0060415,muscle tissue morphogenesis,19_GO:0032502 developmental process,-3,3.2,4,27994,77,1122,10,0.89,0.28,1482|4624|4625|4634|5081|6899|7137|9421|85366|140706,NKX2-5|MYH6|MYH7|MYL3|PAX7|TBX1|TNNI3|HAND1|MYLK2|CCM2L,-2.4,20
KEGG Pathway,24,hsa04726,Serotonergic synapse,,-3,2.7,3.9,27994,119,1122,13,1.2,0.32,111|242|246|247|776|779|2775|2788|2793|10681|123745|255189|283748,ADCY5|ALOX12B|ALOX15|ALOX15B|CACNA1D|CACNA1S|GNAO1|GNG7|GNGT2|GNB5|PLA2G4E|PLA2G4F|PLA2G4D,-2.4,20
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-3,1.7,3.4,27994,593,1122,40,3.6,0.55,151|152|246|958|1001|2155|2161|2623|2626|2812|2815|3172|3630|3640|3848|4488|4654|4656|4815|4846|5024|5081|5175|5493|6376|7056|8291|9066|9620|50506|53905|54361|57126|59352|80274|140628|140706|375033|389827|646960,ADRA2B|ADRA2C|ALOX15|CD40|CDH3|F7|F12|GATA1|GATA4|GP1BB|GP9|HNF4A|INS|INSL3|KRT1|MSX2|MYOD1|MYOG|NINJ2|NOS3|P2RX3|PAX7|PECAM1|PPL|CX3CL1|THBD|DYSF|SYT7|CELSR1|DUOX2|DUOX1|WNT4|CD177|LGR6|SCUBE1|GATA5|CCM2L|PEAR1|MYMK|PRSS56,-2.4,20
GO Biological Processes,19,GO:0048762,mesenchymal cell differentiation,19_GO:0032502 developmental process,-3,2.2,3.6,27994,230,1122,20,1.8,0.4,1942|1947|2253|2637|4487|4488|4902|5076|5979|6899|7481|10507|10736|26508|30812|54361|54437|80326|140628|286204,EFNA1|EFNB1|FGF8|GBX2|MSX1|MSX2|NRTN|PAX2|RET|TBX1|WNT11|SEMA4D|SIX2|HEYL|SOX8|WNT4|SEMA5B|WNT10A|GATA5|CRB2,-2.4,20
GO Biological Processes,19,GO:0030323,respiratory tube development,19_GO:0032502 developmental process,-3,2.3,3.7,27994,181,1122,17,1.5,0.36,1050|1544|1717|1907|2253|2324|4781|4838|4846|5950|6493|7477|7481|8022|9620|9719|64220,CEBPA|CYP1A2|DHCR7|EDN2|FGF8|FLT4|NFIB|NODAL|NOS3|RBP4|SIM2|WNT7B|WNT11|LHX3|CELSR1|ADAMTSL2|STRA6,-2.4,20
GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3,2.9,3.9,27994,105,1122,12,1.1,0.31,861|864|1960|3071|3549|3594|3635|3707|5105|5590|7704|54440,RUNX1|RUNX3|EGR3|NCKAP1L|IHH|IL12RB1|INPP5D|ITPKB|PCK1|PRKCZ|ZBTB16|SASH3,-2.4,20
GO Biological Processes,19,GO:0009306,protein secretion,19_GO:0051179 localization,-3,1.7,3.5,27994,517,1122,36,3.2,0.53,111|152|247|776|958|1813|2850|3172|3625|3630|3741|3745|3767|3952|3993|4843|5127|5319|5539|5950|6376|6755|6833|7100|7200|8291|9066|9254|9619|26056|51083|64788|80725|338557|389692|399687,ADCY5|ADRA2C|ALOX15B|CACNA1D|CD40|DRD2|GPR27|HNF4A|INHBB|INS|KCNA5|KCNB1|KCNJ11|LEP|LLGL2|NOS2|CDK16|PLA2G1B|PPY|RBP4|CX3CL1|SSTR5|ABCC8|TLR5|TRH|DYSF|SYT7|CACNA2D2|ABCG1|RAB11FIP5|GAL|LMF1|SRCIN1|FFAR4|MAFA|MYO18A,-2.4,20
GO Biological Processes,19,GO:0045682,regulation of epidermis development,19_GO:0032502 developmental process,-3,3,3.9,27994,91,1122,11,0.98,0.29,247|861|1001|3204|3872|3890|4488|4804|8456|28514|51083,ALOX15B|RUNX1|CDH3|HOXA7|KRT17|KRT84|MSX2|NGFR|FOXN1|DLL1|GAL,-2.4,20
GO Biological Processes,19,GO:0060021,roof of mouth development,19_GO:0032502 developmental process,-3,3,3.9,27994,91,1122,11,0.98,0.29,1280|1302|2049|4487|6899|7481|7484|60529|63976|64386|124857,2A1|11A2|EPHB3|MSX1|TBX1|WNT11|WNT9B|ALX4|PRDM16|MMP25|WFIKKN2,-2.4,20
GO Biological Processes,19,GO:0060122,inner ear receptor cell stereocilium organization,19_GO:0032502 developmental process,-3,5,4.5,27994,30,1122,6,0.53,0.22,4647|10083|25861|64072|124590|222662,MYO7A|USH1C|WHRN|CDH23|USH1G|LHFPL5,-2.4,20
GO Biological Processes,19,GO:0060998,regulation of dendritic spine development,19_GO:0032502 developmental process,-3,3.2,4,27994,78,1122,10,0.89,0.28,547|816|1942|8997|9148|23105|23237|54413|80725|100132074,KIF1A|CAMK2B|EFNA1|KALRN|NEURL1|FSTL4|ARC|NLGN3|SRCIN1|FOXO6,-2.3,20
GO Biological Processes,19,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",19_GO:0002376 immune system process,-3,3.2,4,27994,78,1122,10,0.89,0.28,861|864|3071|3594|3662|3718|5590|6097|30009|54440,RUNX1|RUNX3|NCKAP1L|IL12RB1|IRF4|JAK3|PRKCZ|RORC|TBX21|SASH3,-2.3,20
GO Biological Processes,19,GO:0048247,lymphocyte chemotaxis,19_GO:0040011 locomotion,-3,3.5,4,27994,65,1122,9,0.8,0.27,2185|6361|6367|6369|6376|9547|10344|11240|729230,PTK2B|CCL17|CCL22|CCL24|CX3CL1|CXCL14|CCL26|PADI2|CCR2,-2.3,20
GO Biological Processes,19,GO:0032835,glomerulus development,19_GO:0032502 developmental process,-3,3.5,4,27994,65,1122,9,0.8,0.27,3975|4868|5076|5175|5420|5979|8842|26508|55959,LHX1|NPHS1|PAX2|PECAM1|PODXL|RET|PROM1|HEYL|SULF2,-2.3,20
GO Biological Processes,19,GO:0033674,positive regulation of kinase activity,19_GO:0048518 positive regulation of biological process,-3,1.7,3.4,27994,615,1122,41,3.7,0.56,111|134|151|152|958|1136|1813|1852|1917|1942|2046|2049|2185|2322|2324|2688|2914|3071|3481|3630|3645|3952|4137|4914|5319|5590|5979|6543|7161|7477|7481|8792|9148|10912|51422|55765|60675|80725|84630|84632|200958,ADCY5|ADORA1|ADRA2B|ADRA2C|CD40|CHRNA3|DRD2|DUSP9|EEF1A2|EFNA1|EPHA8|EPHB3|PTK2B|FLT3|FLT4|GH1|GRM4|NCKAP1L|IGF2|INS|INSRR|LEP|MAPT|NTRK1|PLA2G1B|PRKCZ|RET|SLC8A2|TP73|WNT7B|WNT11|TNFRSF11A|NEURL1|GADD45G|PRKAG2|INAVA|PROK2|SRCIN1|TTBK1|AFAP1L2|MUC20,-2.3,20
GO Biological Processes,19,GO:0002251,organ or tissue specific immune response,19_GO:0002376 immune system process,-3,4.3,4.3,27994,41,1122,7,0.62,0.24,2867|4843|5284|5319|92747|163702|282616,FFAR2|NOS2|PIGR|PLA2G1B|BPIFB1|IFNLR1|IFNL2,-2.3,20
GO Biological Processes,19,GO:0045494,photoreceptor cell maintenance,19_GO:0032501 multicellular organismal process,-3,4.3,4.3,27994,41,1122,7,0.62,0.24,1258|2103|7287|8842|10083|64072|124590,CNGB1|ESRRB|TULP1|PROM1|USH1C|CDH23|USH1G,-2.3,20
GO Biological Processes,19,GO:0007218,neuropeptide signaling pathway,19_GO:0023052 signaling,-3,2.8,3.8,27994,106,1122,12,1.1,0.31,2922|5173|5539|5697|6754|6755|9427|11248|51083|57537|60675|113091,GRP|PDYN|PPY|PYY|SSTR4|SSTR5|ECEL1|NXPH3|GAL|SORCS2|PROK2|PTH2,-2.3,20
GO Biological Processes,19,GO:0032414,positive regulation of ion transmembrane transporter activity,19_GO:0048518 positive regulation of biological process,-3,2.8,3.8,27994,106,1122,12,1.1,0.31,844|3746|3767|9104|10369|23237|27092|51083|54413|54997|84766|729230,CASQ1|KCNC1|KCNJ11|RGN|CACNG2|ARC|CACNG4|GAL|NLGN3|TESC|CRACR2A|CCR2,-2.3,20
GO Biological Processes,19,GO:0045582,positive regulation of T cell differentiation,19_GO:0022610 biological adhesion,-2.9,3,3.9,27994,92,1122,11,0.98,0.29,861|864|1960|3071|3549|3594|3707|5105|5590|7704|54440,RUNX1|RUNX3|EGR3|NCKAP1L|IHH|IL12RB1|ITPKB|PCK1|PRKCZ|ZBTB16|SASH3,-2.3,20
Reactome Gene Sets,6,R-HSA-111885,Opioid Signalling,,-2.9,3,3.9,27994,92,1122,11,0.98,0.29,111|816|2774|2775|2781|2788|2793|5153|5173|10681|84152,ADCY5|CAMK2B|GNAL|GNAO1|GNAZ|GNG7|GNGT2|PDE1B|PDYN|GNB5|PPP1R1B,-2.3,20
KEGG Pathway,24,ko04270,Vascular smooth muscle contraction,,-2.9,2.7,3.8,27994,121,1122,13,1.2,0.32,111|553|776|779|3778|5319|10268|64600|85366|123745|255189|283748|391013,ADCY5|AVPR1B|CACNA1D|CACNA1S|KCNMA1|PLA2G1B|RAMP3|PLA2G2F|MYLK2|PLA2G4E|PLA2G4F|PLA2G4D|PLA2G2C,-2.3,20
GO Biological Processes,19,GO:0050671,positive regulation of lymphocyte proliferation,19_GO:0008283 cell proliferation,-2.9,2.6,3.7,27994,136,1122,14,1.2,0.33,923|958|1947|3071|3481|3594|3718|3952|10148|23308|30835|54440|84433|729230,CD6|CD40|EFNB1|NCKAP1L|IGF2|IL12RB1|JAK3|LEP|EBI3|ICOSLG|CD209|SASH3|CARD11|CCR2,-2.3,20
GO Biological Processes,19,GO:0007632,visual behavior,19_GO:0007610 behavior,-2.9,3.8,4.1,27994,53,1122,8,0.71,0.25,477|1621|1813|5153|10636|54413|65009|84152,ATP1A2|DBH|DRD2|PDE1B|RGS14|NLGN3|NDRG4|PPP1R1B,-2.3,20
GO Biological Processes,19,GO:0043376,"regulation of CD8-positive, alpha-beta T cell differentiation",19_GO:0002376 immune system process,-2.9,12,5.7,27994,6,1122,3,0.27,0.15,861|864|3071,RUNX1|RUNX3|NCKAP1L,-2.3,20
GO Biological Processes,19,GO:2000609,regulation of thyroid hormone generation,19_GO:0050789 regulation of biological process,-2.9,12,5.7,27994,6,1122,3,0.27,0.15,7849|90527|405753,PAX8|DUOXA1|DUOXA2,-2.3,20
GO Biological Processes,19,GO:1904936,interneuron migration,19_GO:0040011 locomotion,-2.9,12,5.7,27994,6,1122,3,0.27,0.15,1813|6900|26468,DRD2|CNTN2|LHX6,-2.3,20
Reactome Gene Sets,6,R-HSA-173623,Classical antibody-mediated complement activation,,-2.9,12,5.7,27994,6,1122,3,0.27,0.15,712|713|714,C1QA|C1QB|C1QC,-2.3,20
GO Biological Processes,19,GO:0021853,cerebral cortex GABAergic interneuron migration,19_GO:0040011 locomotion,-2.9,12,5.7,27994,6,1122,3,0.27,0.15,1813|6900|26468,DRD2|CNTN2|LHX6,-2.3,20
GO Biological Processes,19,GO:0099003,vesicle-mediated transport in synapse,19_GO:0051179 localization,-2.9,2.2,3.6,27994,216,1122,19,1.7,0.39,776|1813|2901|5413|6861|9066|9381|10675|10814|23025|23237|54413|57030|57706|80852|90019|127833|140730|148281,CACNA1D|DRD2|GRIK5|SEPTIN5|SYT5|SYT7|OTOF|CSPG5|CPLX2|UNC13A|ARC|NLGN3|SLC17A7|DENND1A|GRIP2|SYT8|SYT2|RIMS4|SYT6,-2.3,20
GO Biological Processes,19,GO:0007492,endoderm development,19_GO:0032502 developmental process,-2.9,3.2,3.9,27994,79,1122,10,0.89,0.28,1846|2253|2626|3227|3975|4318|4838|9968|23237|55897,DUSP4|FGF8|GATA4|HOXC11|LHX1|MMP9|NODAL|MED12|ARC|MESP1,-2.3,20
GO Biological Processes,19,GO:2000678,negative regulation of transcription regulatory region DNA binding,19_GO:0065007 biological regulation,-2.9,5.9,4.6,27994,21,1122,5,0.45,0.2,2623|4487|4488|9355|9421,GATA1|MSX1|MSX2|LHX2|HAND1,-2.3,20
GO Biological Processes,19,GO:0036150,phosphatidylserine acyl-chain remodeling,19_GO:0008152 metabolic process,-2.9,5.9,4.6,27994,21,1122,5,0.45,0.2,5319|64600|123745|255189|283748,PLA2G1B|PLA2G2F|PLA2G4E|PLA2G4F|PLA2G4D,-2.3,20
GO Biological Processes,19,GO:0061213,positive regulation of mesonephros development,19_GO:0048518 positive regulation of biological process,-2.9,5.9,4.6,27994,21,1122,5,0.45,0.2,3217|3975|5076|7849|30812,HOXB7|LHX1|PAX2|PAX8|SOX8,-2.3,20
GO Biological Processes,19,GO:0007585,respiratory gaseous exchange,19_GO:0032501 multicellular organismal process,-2.9,3.4,4,27994,66,1122,9,0.8,0.27,134|477|2324|6939|8862|9427|9935|50515|54413,ADORA1|ATP1A2|FLT4|TCF15|APLN|ECEL1|MAFB|CHST11|NLGN3,-2.3,20
GO Biological Processes,19,GO:0097479,synaptic vesicle localization,19_GO:0051179 localization,-2.9,2.4,3.7,27994,168,1122,16,1.4,0.35,776|1813|2901|5413|6861|8224|9066|9381|10675|10814|23025|54413|90019|127833|140730|148281,CACNA1D|DRD2|GRIK5|SEPTIN5|SYT5|SYN3|SYT7|OTOF|CSPG5|CPLX2|UNC13A|NLGN3|SYT8|SYT2|RIMS4|SYT6,-2.3,20
GO Biological Processes,19,GO:0071331,cellular response to hexose stimulus,19_GO:0050896 response to stimulus,-2.9,2.5,3.7,27994,137,1122,14,1.2,0.33,111|2626|2850|2901|3745|3767|5076|5105|5127|6518|7054|10804|26056|51085,ADCY5|GATA4|GPR27|GRIK5|KCNB1|KCNJ11|PAX2|PCK1|CDK16|SLC2A5|TH|GJB6|RAB11FIP5|MLXIPL,-2.3,20
GO Biological Processes,19,GO:0032946,positive regulation of mononuclear cell proliferation,19_GO:0008283 cell proliferation,-2.9,2.5,3.7,27994,137,1122,14,1.2,0.33,923|958|1947|3071|3481|3594|3718|3952|10148|23308|30835|54440|84433|729230,CD6|CD40|EFNB1|NCKAP1L|IGF2|IL12RB1|JAK3|LEP|EBI3|ICOSLG|CD209|SASH3|CARD11|CCR2,-2.3,20
