Category,CategoryID,GO,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0071805,potassium ion transmembrane transport,-8.4,4.2,7.7,27994,218,741,24,3.2,0.65,88|478|480|496|776|3742|3745|3756|3761|3768|3778|3781|3782|3790|7881|9312|9722|25769|30820|51083|54207|65268|90134|126755,ACTN2|ATP1A3|ATP1A4|ATP4B|CACNA1D|KCNA6|KCNB1|KCNH1|KCNJ4|KCNJ12|KCNMA1|KCNN2|KCNN3|KCNS3|KCNAB1|KCNB2|NOS1AP|SLC24A2|KCNIP1|GAL|KCNK10|WNK2|KCNH7|LRRC38,-7,17
GO Biological Processes,19,GO:1904062,regulation of cation transmembrane transport,-8.3,3.4,7.3,27994,349,741,31,4.2,0.74,88|187|775|776|1740|1812|1813|2257|2258|2893|2903|3781|4842|4923|5144|5336|5649|6262|6769|7881|8291|9722|10369|22941|27091|30820|51083|53826|57554|65268|126755,ACTN2|APLNR|CACNA1C|CACNA1D|DLG2|DRD1|DRD2|FGF12|FGF13|GRIA4|GRIN2A|KCNN2|NOS1|NTSR1|PDE4D|PLCG2|RELN|RYR2|STAC|KCNAB1|DYSF|NOS1AP|CACNG2|SHANK2|CACNG5|KCNIP1|GAL|FXYD6|LRRC7|WNK2|LRRC38,-7,17
Reactome Gene Sets,6,R-HSA-5576891,Cardiac conduction,-8.3,5.2,8.1,27994,139,741,19,2.6,0.58,478|480|491|775|776|2257|2258|3761|3768|4842|6262|6326|6334|9254|10369|30820|53826|54207|93589,ATP1A3|ATP1A4|ATP2B2|CACNA1C|CACNA1D|FGF12|FGF13|KCNJ4|KCNJ12|NOS1|RYR2|SCN2A|SCN8A|CACNA2D2|CACNG2|KCNIP1|FXYD6|KCNK10|CACNA2D4,-7,17
GO Biological Processes,19,GO:0051966,"regulation of synaptic transmission, glutamatergic",-8.2,7.2,8.8,27994,73,741,14,1.9,0.5,1812|1813|2898|2899|2911|2914|2918|3356|5649|6857|9378|10369|22941|27091,DRD1|DRD2|GRIK2|GRIK3|GRM1|GRM4|GRM8|HTR2A|RELN|SYT1|NRXN1|CACNG2|SHANK2|CACNG5,-6.9,17
Reactome Gene Sets,6,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,-8.2,4.2,7.7,27994,205,741,23,3.1,0.64,88|814|1135|1740|2561|2770|2893|2898|2899|2901|2903|3084|3761|3768|5924|6196|8825|8874|9568|10369|23236|80852|347733,ACTN2|CAMK4|CHRNA2|DLG2|GABRB2|GNAI1|GRIA4|GRIK2|GRIK3|GRIK5|GRIN2A|NRG1|KCNJ4|KCNJ12|RASGRF2|RPS6KA2|LIN7A|ARHGEF7|GABBR2|CACNG2|PLCB1|GRIP2|TUBB2B,-6.9,17
GO Biological Processes,19,GO:0050806,positive regulation of synaptic transmission,-8.2,4.6,7.8,27994,172,741,21,2.8,0.61,776|793|1812|1813|2898|2903|4915|4923|5649|6857|9378|9699|10369|22941|22999|25769|27091|55607|64084|84062|143425,CACNA1D|CALB1|DRD1|DRD2|GRIK2|GRIN2A|NTRK2|NTSR1|RELN|SYT1|NRXN1|RIMS2|CACNG2|SHANK2|RIMS1|SLC24A2|CACNG5|PPP1R9A|CLSTN2|DTNBP1|SYT9,-6.9,17
GO Biological Processes,19,GO:0022898,regulation of transmembrane transporter activity,-8.2,3.7,7.4,27994,276,741,27,3.6,0.69,88|776|1080|1740|1813|2257|2258|2893|2903|4842|4923|5144|5336|5649|6262|6769|7881|8291|9722|10369|22941|27091|51083|53826|57554|65268|126755,ACTN2|CACNA1D|CFTR|DLG2|DRD2|FGF12|FGF13|GRIA4|GRIN2A|NOS1|NTSR1|PDE4D|PLCG2|RELN|RYR2|STAC|KCNAB1|DYSF|NOS1AP|CACNG2|SHANK2|CACNG5|GAL|FXYD6|LRRC7|WNK2|LRRC38,-6.9,17
GO Biological Processes,19,GO:0023061,signal release,-8.2,2.9,7,27994,476,741,37,5,0.8,152|774|775|776|846|1080|1588|1812|1813|2641|2693|2901|2914|3356|3745|3790|4843|4856|5028|6857|6928|7425|8224|8825|8997|9254|9378|9699|11255|22999|51083|55512|55607|84062|93664|131177|143425,ADRA2C|CACNA1B|CACNA1C|CACNA1D|CASR|CFTR|CYP19A1|DRD1|DRD2|GCG|GHSR|GRIK5|GRM4|HTR2A|KCNB1|KCNS3|NOS2|CCN3|P2RY1|SYT1|HNF1B|VGF|SYN3|LIN7A|KALRN|CACNA2D2|NRXN1|RIMS2|HRH3|RIMS1|GAL|SMPD3|PPP1R9A|DTNBP1|CADPS2|FAM3D|SYT9,-6.9,17
GO Biological Processes,19,GO:0007611,learning or memory,-8.1,3.8,7.4,27994,260,741,26,3.5,0.68,793|814|1620|1812|1813|2258|2693|2903|3356|4915|4923|5649|6326|7881|8516|8997|9369|9378|22941|22986|23236|25769|26047|54207|84630|139411,CALB1|CAMK4|BRINP1|DRD1|DRD2|FGF13|GHSR|GRIN2A|HTR2A|NTRK2|NTSR1|RELN|SCN2A|KCNAB1|ITGA8|KALRN|NRXN3|NRXN1|SHANK2|SORCS3|PLCB1|SLC24A2|CNTNAP2|KCNK10|TTBK1|PTCHD1,-6.8,17
GO Biological Processes,19,GO:0000904,cell morphogenesis involved in differentiation,-8.1,2.5,6.7,27994,753,741,49,6.6,0.91,655|1501|1600|1813|1949|2253|2258|2668|2736|3676|3975|4647|4684|4915|5649|5789|6586|6708|7399|7473|8516|8633|8874|8997|9201|9369|9378|10507|22854|22891|22941|23043|23242|25861|26033|26052|55607|57643|64096|79977|84062|84570|84628|89780|90249|91584|170302|347733|374946,BMP7|CTNND2|DAB1|DRD2|EFNB3|FGF8|FGF13|GDNF|GLI2|ITGA4|LHX1|MYO7A|NCAM1|NTRK2|RELN|PTPRD|SLIT3|SPTA1|USH2A|WNT3|ITGA8|UNC5C|ARHGEF7|KALRN|DCLK1|NRXN3|NRXN1|SEMA4D|NTNG1|ZNF365|SHANK2|TNIK|COBL|WHRN|ATRNL1|DNM3|PPP1R9A|ZSWIM5|GFRA4|GRHL2|DTNBP1|25A1|NTNG2|WNT3A|UNC5A|PLXNA4|ARX|TUBB2B|DRAXIN,-6.8,17
KEGG Pathway,24,hsa04024,cAMP signaling pathway,-8,4,7.5,27994,226,741,24,3.2,0.65,478|480|491|775|776|814|1080|1261|1812|1813|2641|2693|2735|2770|2893|2903|3360|5140|5144|6262|7253|9568|10000|10451,ATP1A3|ATP1A4|ATP2B2|CACNA1C|CACNA1D|CAMK4|CFTR|CNGA3|DRD1|DRD2|GCG|GHSR|GLI1|GNAI1|GRIA4|GRIN2A|HTR4|PDE3B|PDE4D|RYR2|TSHR|GABBR2|AKT3|VAV3,-6.7,17
GO Biological Processes,19,GO:0050805,negative regulation of synaptic transmission,-8,7.1,8.7,27994,75,741,14,1.9,0.5,1812|1813|2770|2895|2898|2899|3356|3745|22941|22986|25769|55607|56853|392862,DRD1|DRD2|GNAI1|GRID2|GRIK2|GRIK3|HTR2A|KCNB1|SHANK2|SORCS3|SLC24A2|PPP1R9A|CELF4|GRID2IP,-6.7,17
GO Biological Processes,19,GO:0031644,regulation of neurological system process,-7.8,4.8,7.7,27994,148,741,19,2.6,0.58,152|552|2257|2693|2911|3586|4846|4856|4923|5649|9378|9699|22941|22999|27091|56853|56923|57596|58494,ADRA2C|AVPR1A|FGF12|GHSR|GRM1|IL10|NOS3|CCN3|NTSR1|RELN|NRXN1|RIMS2|SHANK2|RIMS1|CACNG5|CELF4|NMUR2|BEGAIN|JAM2,-6.6,17
GO Biological Processes,19,GO:0061337,cardiac conduction,-7.8,4.8,7.7,27994,149,741,19,2.6,0.58,478|480|491|775|776|3761|3768|3781|4842|5144|6262|9254|10369|27091|29119|30820|51086|53826|93589,ATP1A3|ATP1A4|ATP2B2|CACNA1C|CACNA1D|KCNJ4|KCNJ12|KCNN2|NOS1|PDE4D|RYR2|CACNA2D2|CACNG2|CACNG5|CTNNA3|KCNIP1|TNNI3K|FXYD6|CACNA2D4,-6.5,17
GO Biological Processes,19,GO:0050433,regulation of catecholamine secretion,-7.8,8.2,8.9,27994,55,741,12,1.6,0.46,152|1813|2668|2693|3356|3745|5028|6857|11255|57586|84062|143425,ADRA2C|DRD2|GDNF|GHSR|HTR2A|KCNB1|P2RY1|SYT1|HRH3|SYT13|DTNBP1|SYT9,-6.5,17
GO Biological Processes,19,GO:0032409,regulation of transporter activity,-7.7,3.5,7.1,27994,291,741,27,3.6,0.69,88|776|1080|1740|1813|2257|2258|2893|2903|4842|4923|5144|5336|5649|6262|6769|7881|8291|9722|10369|22941|27091|51083|53826|57554|65268|126755,ACTN2|CACNA1D|CFTR|DLG2|DRD2|FGF12|FGF13|GRIA4|GRIN2A|NOS1|NTSR1|PDE4D|PLCG2|RELN|RYR2|STAC|KCNAB1|DYSF|NOS1AP|CACNG2|SHANK2|CACNG5|GAL|FXYD6|LRRC7|WNK2|LRRC38,-6.4,17
GO Biological Processes,19,GO:0001655,urogenital system development,-7.7,3.3,7,27994,331,741,29,3.9,0.71,655|793|947|1286|1588|1592|2253|2668|2719|2735|2736|3975|4774|5156|5314|5915|6492|6928|7475|7484|7827|8516|8642|8854|9244|9420|26249|84623|170690,BMP7|CALB1|CD34|4A4|CYP19A1|CYP26A1|FGF8|GDNF|GPC3|GLI1|GLI2|LHX1|NFIA|PDGFRA|PKHD1|RARB|SIM1|HNF1B|WNT6|WNT9B|NPHS2|ITGA8|DCHS1|ALDH1A2|CRLF1|CYP7B1|KLHL3|KIRREL3|ADAMTS16,-6.4,17
GO Biological Processes,19,GO:0007613,memory,-7.7,5.3,7.8,27994,121,741,17,2.3,0.55,793|814|1620|1812|1813|2258|2903|3356|5649|6326|8516|8997|22986|23236|25769|54207|139411,CALB1|CAMK4|BRINP1|DRD1|DRD2|FGF13|GRIN2A|HTR2A|RELN|SCN2A|ITGA8|KALRN|SORCS3|PLCB1|SLC24A2|KCNK10|PTCHD1,-6.4,17
GO Biological Processes,19,GO:0051952,regulation of amine transport,-7.7,6.1,8.1,27994,93,741,15,2,0.52,152|552|1812|1813|2668|2693|3356|3745|4923|5028|6857|11255|57586|84062|143425,ADRA2C|AVPR1A|DRD1|DRD2|GDNF|GHSR|HTR2A|KCNB1|NTSR1|P2RY1|SYT1|HRH3|SYT13|DTNBP1|SYT9,-6.4,17
GO Biological Processes,19,GO:0050432,catecholamine secretion,-7.6,8,8.7,27994,57,741,12,1.6,0.46,152|1813|2668|2693|3356|3745|5028|6857|11255|57586|84062|143425,ADRA2C|DRD2|GDNF|GHSR|HTR2A|KCNB1|P2RY1|SYT1|HRH3|SYT13|DTNBP1|SYT9,-6.4,17
GO Biological Processes,19,GO:0001508,action potential,-7.6,4.9,7.6,27994,138,741,18,2.4,0.57,775|776|1180|1812|2257|2258|2898|3745|3781|4915|4923|6262|6326|6334|8911|9630|9722|29119,CACNA1C|CACNA1D|CLCN1|DRD1|FGF12|FGF13|GRIK2|KCNB1|KCNN2|NTRK2|NTSR1|RYR2|SCN2A|SCN8A|CACNA1I|GNA14|NOS1AP|CTNNA3,-6.3,17
GO Biological Processes,19,GO:0051937,catecholamine transport,-7.3,6.8,8.2,27994,72,741,13,1.8,0.48,152|1812|1813|2668|2693|3356|3745|5028|6857|11255|57586|84062|143425,ADRA2C|DRD1|DRD2|GDNF|GHSR|HTR2A|KCNB1|P2RY1|SYT1|HRH3|SYT13|DTNBP1|SYT9,-6.1,17
GO Biological Processes,19,GO:0019226,transmission of nerve impulse,-7.3,6.8,8.2,27994,72,741,13,1.8,0.48,552|1180|1812|2257|2693|2898|4915|6326|6334|8911|10369|26047|27091,AVPR1A|CLCN1|DRD1|FGF12|GHSR|GRIK2|NTRK2|SCN2A|SCN8A|CACNA1I|CACNG2|CNTNAP2|CACNG5,-6.1,17
GO Biological Processes,19,GO:0021953,central nervous system neuron differentiation,-7.3,4.1,7.1,27994,194,741,21,2.8,0.61,1812|1813|2253|2736|2895|3975|4915|6095|6586|6695|7473|7484|9201|26038|26468|57282|89780|91584|170302|266727|374946,DRD1|DRD2|FGF8|GLI2|GRID2|LHX1|NTRK2|RORA|SLIT3|SPOCK1|WNT3|WNT9B|DCLK1|CHD5|LHX6|SLC4A10|WNT3A|PLXNA4|ARX|MDGA1|DRAXIN,-6.1,17
GO Biological Processes,19,GO:0001764,neuron migration,-7.1,4.4,7.2,27994,164,741,19,2.6,0.58,1600|1812|1813|2258|3084|3975|4915|5592|5649|6695|9201|22854|26468|84623|84628|92737|170302|266727|347733,DAB1|DRD1|DRD2|FGF13|NRG1|LHX1|NTRK2|PRKG1|RELN|SPOCK1|DCLK1|NTNG1|LHX6|KIRREL3|NTNG2|DNER|ARX|MDGA1|TUBB2B,-5.9,17
GO Biological Processes,19,GO:0072001,renal system development,-7,3.4,6.7,27994,293,741,26,3.5,0.68,655|793|947|1286|1592|2253|2668|2719|2736|3975|4774|5156|5314|5915|6492|6928|7475|7484|7827|8516|8642|8854|9244|26249|84623|170690,BMP7|CALB1|CD34|4A4|CYP26A1|FGF8|GDNF|GPC3|GLI2|LHX1|NFIA|PDGFRA|PKHD1|RARB|SIM1|HNF1B|WNT6|WNT9B|NPHS2|ITGA8|DCHS1|ALDH1A2|CRLF1|KLHL3|KIRREL3|ADAMTS16,-5.9,17
Reactome Gene Sets,6,R-HSA-500792,GPCR ligand binding,-6.9,2.8,6.3,27994,467,741,34,4.6,0.77,152|187|552|846|887|1812|1813|2641|2693|2834|2911|2914|2918|3062|3356|3360|3375|4923|5028|6346|6357|7253|7473|7475|7484|9568|9718|11255|27199|51083|56923|57105|89780|110599583,ADRA2C|APLNR|AVPR1A|CASR|CCKBR|DRD1|DRD2|GCG|GHSR|PRLHR|GRM1|GRM4|GRM8|HCRTR2|HTR2A|HTR4|IAPP|NTSR1|P2RY1|CCL1|CCL13|TSHR|WNT3|WNT6|WNT9B|GABBR2|ECE2|HRH3|OXGR1|GAL|NMUR2|CYSLTR2|WNT3A|EEF1AKMT4-ECE2,-5.7,17
GO Biological Processes,19,GO:0030534,adult behavior,-6.9,4.7,7.1,27994,137,741,17,2.3,0.55,1600|1812|1813|1949|2257|2668|2693|2834|3356|4923|6506|8997|9369|9378|22941|26047|57578,DAB1|DRD1|DRD2|EFNB3|FGF12|GDNF|GHSR|PRLHR|HTR2A|NTSR1|SLC1A2|KALRN|NRXN3|NRXN1|SHANK2|CNTNAP2|UNC79,-5.7,17
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,-6.8,3.3,6.5,27994,301,741,26,3.5,0.68,655|1286|1310|1404|1463|3676|3680|3817|4684|7373|7450|8516|9378|10753|10893|11096|27302|56999|57642|58494|64386|84570|136227|170690|222663|255631,BMP7|4A4|19A1|HAPLN1|NCAN|ITGA4|ITGA9|KLK2|NCAM1|14A1|VWF|ITGA8|NRXN1|CAPN9|MMP24|ADAMTS5|BMP10|ADAMTS9|20A1|JAM2|MMP25|25A1|26A1|ADAMTS16|SCUBE3|24A1,-5.7,17
GO Biological Processes,19,GO:0006935,chemotaxis,-6.8,2.4,6.1,27994,656,741,42,5.7,0.85,655|846|1588|1600|1794|1949|2253|2668|2736|3084|3586|3680|3975|4684|4856|5144|5156|5649|6346|6357|6362|6586|6708|6850|7473|8291|8633|9369|9378|9420|10451|10507|57118|57643|64096|89780|90249|91584|120425|170302|347733|374946,BMP7|CASR|CYP19A1|DAB1|DOCK2|EFNB3|FGF8|GDNF|GLI2|NRG1|IL10|ITGA9|LHX1|NCAM1|CCN3|PDE4D|PDGFRA|RELN|CCL1|CCL13|CCL18|SLIT3|SPTA1|SYK|WNT3|DYSF|UNC5C|NRXN3|NRXN1|CYP7B1|VAV3|SEMA4D|CAMK1D|ZSWIM5|GFRA4|WNT3A|UNC5A|PLXNA4|JAML|ARX|TUBB2B|DRAXIN,-5.7,17
GO Biological Processes,19,GO:0042330,taxis,-6.8,2.4,6,27994,658,741,42,5.7,0.85,655|846|1588|1600|1794|1949|2253|2668|2736|3084|3586|3680|3975|4684|4856|5144|5156|5649|6346|6357|6362|6586|6708|6850|7473|8291|8633|9369|9378|9420|10451|10507|57118|57643|64096|89780|90249|91584|120425|170302|347733|374946,BMP7|CASR|CYP19A1|DAB1|DOCK2|EFNB3|FGF8|GDNF|GLI2|NRG1|IL10|ITGA9|LHX1|NCAM1|CCN3|PDE4D|PDGFRA|RELN|CCL1|CCL13|CCL18|SLIT3|SPTA1|SYK|WNT3|DYSF|UNC5C|NRXN3|NRXN1|CYP7B1|VAV3|SEMA4D|CAMK1D|ZSWIM5|GFRA4|WNT3A|UNC5A|PLXNA4|JAML|ARX|TUBB2B|DRAXIN,-5.6,17
GO Biological Processes,19,GO:0043270,positive regulation of ion transport,-6.7,3.3,6.5,27994,284,741,25,3.4,0.66,88|187|552|776|846|1080|1812|1813|2257|2641|2668|4638|4842|4923|5028|5336|5649|6262|6769|6857|9722|10369|51083|65268|126755,ACTN2|APLNR|AVPR1A|CACNA1D|CASR|CFTR|DRD1|DRD2|FGF12|GCG|GDNF|MYLK|NOS1|NTSR1|P2RY1|PLCG2|RELN|RYR2|STAC|SYT1|NOS1AP|CACNG2|GAL|WNK2|LRRC38,-5.6,17
GO Biological Processes,19,GO:0001822,kidney development,-6.7,3.3,6.5,27994,284,741,25,3.4,0.66,655|793|947|1286|1592|2253|2668|2719|2736|3975|5156|5314|5915|6492|6928|7475|7484|7827|8516|8642|8854|9244|26249|84623|170690,BMP7|CALB1|CD34|4A4|CYP26A1|FGF8|GDNF|GPC3|GLI2|LHX1|PDGFRA|PKHD1|RARB|SIM1|HNF1B|WNT6|WNT9B|NPHS2|ITGA8|DCHS1|ALDH1A2|CRLF1|KLHL3|KIRREL3|ADAMTS16,-5.6,17
GO Biological Processes,19,GO:0030003,cellular cation homeostasis,-6.7,2.4,6,27994,664,741,42,5.7,0.85,187|478|480|491|496|540|552|775|776|793|846|887|1080|1812|1813|2830|2898|2903|2911|3062|3356|3375|3778|4842|4923|5028|5144|5156|5314|5336|6262|6346|6357|7274|7780|9633|25769|54734|56923|57282|64699|645745,APLNR|ATP1A3|ATP1A4|ATP2B2|ATP4B|ATP7B|AVPR1A|CACNA1C|CACNA1D|CALB1|CASR|CCKBR|CFTR|DRD1|DRD2|GPR6|GRIK2|GRIN2A|GRM1|HCRTR2|HTR2A|IAPP|KCNMA1|NOS1|NTSR1|P2RY1|PDE4D|PDGFRA|PKHD1|PLCG2|RYR2|CCL1|CCL13|TTPA|SLC30A2|TESMIN|SLC24A2|RAB39A|NMUR2|SLC4A10|TMPRSS3|MT1HL1,-5.5,17
GO Biological Processes,19,GO:0007269,neurotransmitter secretion,-6.7,4.1,6.8,27994,175,741,19,2.6,0.58,774|776|1812|1813|2901|2914|3356|5028|6857|8224|8825|9378|9699|11255|22999|55607|84062|93664|143425,CACNA1B|CACNA1D|DRD1|DRD2|GRIK5|GRM4|HTR2A|P2RY1|SYT1|SYN3|LIN7A|NRXN1|RIMS2|HRH3|RIMS1|PPP1R9A|DTNBP1|CADPS2|SYT9,-5.5,17
GO Biological Processes,19,GO:0099643,signal release from synapse,-6.7,4.1,6.8,27994,175,741,19,2.6,0.58,774|776|1812|1813|2901|2914|3356|5028|6857|8224|8825|9378|9699|11255|22999|55607|84062|93664|143425,CACNA1B|CACNA1D|DRD1|DRD2|GRIK5|GRM4|HTR2A|P2RY1|SYT1|SYN3|LIN7A|NRXN1|RIMS2|HRH3|RIMS1|PPP1R9A|DTNBP1|CADPS2|SYT9,-5.5,17
GO Biological Processes,19,GO:0072073,kidney epithelium development,-6.6,4.5,6.9,27994,142,741,17,2.3,0.55,655|793|947|2253|2668|2719|3975|5915|6492|6928|7475|7484|7827|8642|9244|26249|170690,BMP7|CALB1|CD34|FGF8|GDNF|GPC3|LHX1|RARB|SIM1|HNF1B|WNT6|WNT9B|NPHS2|DCHS1|CRLF1|KLHL3|ADAMTS16,-5.5,17
GO Biological Processes,19,GO:0055080,cation homeostasis,-6.6,2.3,5.9,27994,739,741,45,6.1,0.88,187|478|480|491|496|540|552|775|776|793|846|887|1080|1812|1813|2830|2898|2903|2911|3062|3356|3375|3778|4842|4923|5028|5144|5156|5172|5314|5336|6262|6346|6357|7274|7780|9633|25769|54734|56923|57282|64699|261729|285175|645745,APLNR|ATP1A3|ATP1A4|ATP2B2|ATP4B|ATP7B|AVPR1A|CACNA1C|CACNA1D|CALB1|CASR|CCKBR|CFTR|DRD1|DRD2|GPR6|GRIK2|GRIN2A|GRM1|HCRTR2|HTR2A|IAPP|KCNMA1|NOS1|NTSR1|P2RY1|PDE4D|PDGFRA|SLC26A4|PKHD1|PLCG2|RYR2|CCL1|CCL13|TTPA|SLC30A2|TESMIN|SLC24A2|RAB39A|NMUR2|SLC4A10|TMPRSS3|STEAP2|UNC80|MT1HL1,-5.5,17
Reactome Gene Sets,6,R-HSA-5173105,O-linked glycosylation,-6.6,5.1,7.1,27994,111,741,15,2,0.52,4584|4585|10071|10164|11093|11096|26290|29954|56999|57452|79695|81792|168391|170690|256435,MUC3A|MUC4|MUC12|CHST4|ADAMTS13|ADAMTS5|GALNT8|POMT2|ADAMTS9|GALNT16|GALNT12|ADAMTS12|GALNTL5|ADAMTS16|ST6GALNAC3,-5.5,17
GO Biological Processes,19,GO:0021826,substrate-independent telencephalic tangential migration,-6.6,19,10,27994,12,741,6,0.81,0.33,1812|1813|3084|6586|26468|170302,DRD1|DRD2|NRG1|SLIT3|LHX6|ARX,-5.5,17
GO Biological Processes,19,GO:0021843,substrate-independent telencephalic tangential interneuron migration,-6.6,19,10,27994,12,741,6,0.81,0.33,1812|1813|3084|6586|26468|170302,DRD1|DRD2|NRG1|SLIT3|LHX6|ARX,-5.5,17
GO Biological Processes,19,GO:0099565,"chemical synaptic transmission, postsynaptic",-6.6,5.1,7.1,27994,112,741,15,2,0.52,1135|1813|2895|2898|2901|2903|4923|5649|9378|9699|22941|22999|55607|56853|388135,CHRNA2|DRD2|GRID2|GRIK2|GRIK5|GRIN2A|NTSR1|RELN|NRXN1|RIMS2|SHANK2|RIMS1|PPP1R9A|CELF4|INSYN1,-5.5,17
GO Biological Processes,19,GO:0072006,nephron development,-6.5,4.5,6.9,27994,144,741,17,2.3,0.55,655|793|947|1286|2253|2668|2719|3975|5156|6928|7475|7484|7827|8642|26249|84623|170690,BMP7|CALB1|CD34|4A4|FGF8|GDNF|GPC3|LHX1|PDGFRA|HNF1B|WNT6|WNT9B|NPHS2|DCHS1|KLHL3|KIRREL3|ADAMTS16,-5.4,17
KEGG Pathway,24,ko04514,Cell adhesion molecules (CAMs),-6.5,4.5,6.9,27994,144,741,17,2.3,0.55,923|942|947|3122|3676|3680|4684|6402|8516|9369|9378|22854|23562|23705|26047|58494|84628,CD6|CD86|CD34|HLA-DRA|ITGA4|ITGA9|NCAM1|SELL|ITGA8|NRXN3|NRXN1|NTNG1|CLDN14|CADM1|CNTNAP2|JAM2|NTNG2,-5.4,17
GO Biological Processes,19,GO:0001657,ureteric bud development,-6.5,5.4,7.2,27994,98,741,14,1.9,0.5,655|793|2253|2668|2719|3975|5915|6492|6928|7475|7484|8642|9244|170690,BMP7|CALB1|FGF8|GDNF|GPC3|LHX1|RARB|SIM1|HNF1B|WNT6|WNT9B|DCHS1|CRLF1|ADAMTS16,-5.4,17
GO Biological Processes,19,GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling,-6.5,2.4,5.9,27994,627,741,40,5.4,0.83,1135|1501|1813|2262|2719|2735|2736|2895|2898|2901|2903|3516|4923|5336|5626|5649|5682|6928|7473|7475|7484|9378|9699|10459|22941|22999|23043|23236|25805|27303|51741|55607|56853|65268|84870|85407|89780|340419|374946|388135,CHRNA2|CTNND2|DRD2|GPC5|GPC3|GLI1|GLI2|GRID2|GRIK2|GRIK5|GRIN2A|RBPJ|NTSR1|PLCG2|PROP1|RELN|PSMA1|HNF1B|WNT3|WNT6|WNT9B|NRXN1|RIMS2|MAD2L2|SHANK2|RIMS1|TNIK|PLCB1|BAMBI|RBMS3|WWOX|PPP1R9A|CELF4|WNK2|RSPO3|NKD1|WNT3A|RSPO2|DRAXIN|INSYN1,-5.4,17
GO Biological Processes,19,GO:0072164,mesonephric tubule development,-6.5,5.3,7.1,27994,99,741,14,1.9,0.5,655|793|2253|2668|2719|3975|5915|6492|6928|7475|7484|8642|9244|170690,BMP7|CALB1|FGF8|GDNF|GPC3|LHX1|RARB|SIM1|HNF1B|WNT6|WNT9B|DCHS1|CRLF1|ADAMTS16,-5.4,17
GO Biological Processes,19,GO:0072163,mesonephric epithelium development,-6.5,5.3,7.1,27994,99,741,14,1.9,0.5,655|793|2253|2668|2719|3975|5915|6492|6928|7475|7484|8642|9244|170690,BMP7|CALB1|FGF8|GDNF|GPC3|LHX1|RARB|SIM1|HNF1B|WNT6|WNT9B|DCHS1|CRLF1|ADAMTS16,-5.4,17
GO Biological Processes,19,GO:0006873,cellular ion homeostasis,-6.4,2.3,5.8,27994,677,741,42,5.7,0.85,187|478|480|491|496|540|552|775|776|793|846|887|1080|1812|1813|2830|2898|2903|2911|3062|3356|3375|3778|4842|4923|5028|5144|5156|5314|5336|6262|6346|6357|7274|7780|9633|25769|54734|56923|57282|64699|645745,APLNR|ATP1A3|ATP1A4|ATP2B2|ATP4B|ATP7B|AVPR1A|CACNA1C|CACNA1D|CALB1|CASR|CCKBR|CFTR|DRD1|DRD2|GPR6|GRIK2|GRIN2A|GRM1|HCRTR2|HTR2A|IAPP|KCNMA1|NOS1|NTSR1|P2RY1|PDE4D|PDGFRA|PKHD1|PLCG2|RYR2|CCL1|CCL13|TTPA|SLC30A2|TESMIN|SLC24A2|RAB39A|NMUR2|SLC4A10|TMPRSS3|MT1HL1,-5.4,17
KEGG Pathway,24,ko05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),-6.4,6.3,7.4,27994,72,741,12,1.6,0.46,88|775|776|3676|3680|6262|8516|9254|10369|27091|29119|93589,ACTN2|CACNA1C|CACNA1D|ITGA4|ITGA9|RYR2|ITGA8|CACNA2D2|CACNG2|CACNG5|CTNNA3|CACNA2D4,-5.3,17
KEGG Pathway,24,hsa04261,Adrenergic signaling in cardiomyocytes,-6.4,4.4,6.8,27994,147,741,17,2.3,0.55,70|478|480|491|775|776|2668|2770|5521|6262|7139|9254|10000|10369|23236|27091|93589,ACTC1|ATP1A3|ATP1A4|ATP2B2|CACNA1C|CACNA1D|GDNF|GNAI1|PPP2R2B|RYR2|TNNT2|CACNA2D2|AKT3|CACNG2|PLCB1|CACNG5|CACNA2D4,-5.3,17
Reactome Gene Sets,6,R-HSA-6794362,Protein-protein interactions at synapses,-6.4,5.7,7.2,27994,86,741,13,1.8,0.48,1740|2893|2903|2911|5789|6857|8825|9369|9378|22941|57596|57622|143425,DLG2|GRIA4|GRIN2A|GRM1|PTPRD|SYT1|LIN7A|NRXN3|NRXN1|SHANK2|BEGAIN|LRFN1|SYT9,-5.3,17
GO Biological Processes,19,GO:0099504,synaptic vesicle cycle,-6.3,3.8,6.5,27994,201,741,20,2.7,0.6,273|776|1812|1813|2901|3356|5028|6570|6857|8224|8927|9378|9699|9892|22999|26052|84062|89780|93664|143425,AMPH|CACNA1D|DRD1|DRD2|GRIK5|HTR2A|P2RY1|SLC18A1|SYT1|SYN3|BSN|NRXN1|RIMS2|SNAP91|RIMS1|DNM3|DTNBP1|WNT3A|CADPS2|SYT9,-5.3,17
